“你为什么老是挑刺？”“因为你可以做的更好。”,
“你要相信神。”“可是，神也不是无处不在的。”“我知道，所以他创造了母亲。”,《一个母亲的复仇》
“你以后想成为什么样的人？”“什么意思，难道我以后就不能成为我自己了吗？”,《阿甘正传》
“你知道什么叫失败？真正失败的人，就是那种特别害怕不能成功，怕死了，连试都不敢试的人。”,电影《阳光小美女》
“人这一辈子那么长，谁没爱上过几个人渣？”,《春娇与志明》
“人真正变强大，不是因为守护自尊心，而是抛开自尊心的时候。”,《请回答1988》
“如果，我多一张船票，你会不会跟我一起走？”,《花样年华》
“如果你身处黑暗，还想要照亮别人，那你算是长大了。”, 《银河补习班》
“神明是存在的，但神并不爱你。”, 《文豪野犬》
“生命中充满了巧合，两条平行线也会有相交的一天。”,《向左走向右走》
“他们的命运，毁在他们颓废的时光里。我们必须要有力量，要美丽，而且无悔。”,《夜访吸血鬼》
“为什么那么多活得很糟的人，不安安静静地死了算了？”,
“我以前有一个朋友，他和他老婆是在舞厅里认识的，后来他们结婚，住在一个小房子里。小房子边边有一个瀑布，瀑布声音蛮大，他们在家只跳舞，不讲话，因为讲话也听不到。”,《路边野餐》
“我昨天遇到一个人，感觉他非常有意思，印象深刻。但后来就再也碰不上了，人生就是这样。”,王家卫《一代宗师》
“谢谢你喜欢我。”“我也喜欢当年喜欢你的那个我。”,《那些年，我们一起追过的女孩》
“也不是，天亮后会很美的。”,《喜剧之王》
“因为生活可能会好起来。”,—《百年酒馆》
“有些爱，只能止于唇齿，掩于岁月。我喜欢来日方长的男人和不堪回首的女人，是他们把生活搞得意味深长。”,《甜蜜蜜》
“有些事情你越想忘记，就会记得越牢。当有些事情你无法得到时，你惟一能做的，就是不要忘记。”,《东邪西毒》
“这世上，有人住高楼，有人在深沟，有人光万丈，有人一身锈。”, 电影台词 《怦然心动》
“只有有事的时候，人才会说自己没事。”,《马男波杰克》
世间所有的相遇，都是久别重逢。,《一代宗师》
一个始终不被善待的人，最能识别善良，也最能珍惜善良。,《芳华》
走人生的路就像爬山一样，看起来走了许多冤枉的路，崎岖的路，但最终会到达山顶。,《城南旧事》
凡事都有可能，永远别说永远。,《放牛班的春天》
死亡不是真的逝去，遗忘才是永恒的消亡。,《寻梦环游记》
如果你不出去走走，你就会以为这就是全世界。,《天堂电影院》
只有一个人在旅行时，才听得到自己的声音，它会告诉你，这世界比想象中的宽阔。,《魔女宅急便》
你要凭着上帝给予的做到最好。,《阿甘正传》
让人类永远保持理智，确实是一种奢求。,《流浪地球》
当命运需要你们去逆风飞翔的时候，就不能随风而去。,《少年班》
这个世界似乎还想要征服我，那就如你所愿吧，我会漂亮地挣扎到底。,《你的名字》
路上总有阴影，但你抬头就能看到光。,《少年的你》
人之所以孤独，是因为不敢迈出第一步。,《绿皮书》
在变幻的生命里，岁月，原是最大的小偷。,《岁月神偷》
别因一切结束而流泪，要庆幸曾发生过的一切。,《神秘巨星》
被一个人深深地爱著将给你力量，深深地爱著一个人将给你勇气。,《哈尔的移动城堡》
生命可以随心所欲，但不能随波逐流。,《猫的报恩》
"你自己喜欢的东西,必须由你自己去探索寻找。",《在京都小住》
我在云中欢笑，上面是如此的黑，但阳光在我心中，我为爱准备着。,《雨中曲》
人心中的成见就像一座大山，任你如何努力都不可能搬动。,《哪吒之魔童降世》
这个世界最大的谎言就是你不行。,《垫底辣妹》
其实很多时候，你并不需要不做什么，真诚就行。,《触不可及》
昨天是历史，明天是谜团，只有今天是天赐的礼物。,《功夫熊猫》
愿你在被打击时，记起你的珍贵，抵抗恶意。愿你在迷茫时，坚信你的珍贵，爱你所爱，行你所行，听从你心，无问西东。,《无问西东》
短短的一生，我们最终都会失去，你不妨大胆一些。爱一个人，攀一座山，追一个梦。,《大鱼海棠》
如果你爱上了某个星球的一朵花。那么，只要在夜晚仰望星空，就会觉得漫天的繁星就像一朵朵盛开的花。,《小王子》
